X,Y,Resistivity,Chargeability
66.25,-13.077,278.48,2
68.75,-13.077,285.02,2.1
71.25,-13.077,248.57,2.25
83.75,-13.077,248.57,2.25
96.25,-13.077,248.57,2.25
3.75,-15.635,157.67,2.27
20,-15.635,157.67,2.27
36.25,-15.635,157.67,2.27
38.75,-15.635,118.99,2.06
41.25,-15.635,71.39,1.95
43.75,-15.635,43.72,1.9
46.25,-15.635,43.86,1.83
48.75,-15.635,93.26,1.7
51.25,-15.635,235.56,1.58
53.75,-15.635,402.02,1.53
56.25,-15.635,440.22,1.56
58.75,-15.635,437.42,1.64
61.25,-15.635,513.32,1.75
11.25,0,560.12,2.15
16.25,0,672.81,3.58
21.25,0,161.66,1.24
23.75,0,51.98,1.62
33.75,0,1700.5,10.11
36.25,0,248.48,1.41
48.75,0,346.91,3.68
56.25,0,464.23,2.4
58.75,0,851.2,5.43
61.25,0,2529.25,15.93
63.75,0,767.45,6.91
66.25,0,1059,7.31
68.75,0,679.26,2.13
71.25,0,1542.31,9.33
73.75,0,1868.7,13.14
76.25,0,288.27,1.01
78.75,0,651.71,2.21
81.25,0,724.04,2.39
83.75,0,586.25,2.14
86.25,0,336.3,3.44
88.75,0,318.28,3.6
91.25,0,195.83,2.16
93.75,0,138.71,0.79
96.25,0,96.34,0.61
11.25,-0.313,560.12,2.15
13.75,-0.313,499.58,2.08
16.25,-0.313,672.81,3.58
18.75,-0.313,475.72,2.5
21.25,-0.313,161.66,1.24
23.75,-0.313,51.98,1.62
33.75,-0.313,102.45,1.4
36.25,-0.313,248.48,1.41
46.25,-0.313,606.31,2.09
48.75,-0.313,346.91,2.68
51.25,-0.313,214.95,3.01
56.25,-0.313,464.23,1.4
58.75,-0.313,851.2,5.43
63.75,-0.313,767.45,6.91
66.25,-0.313,1059,8.31
68.75,-0.313,679.26,2.13
71.25,-0.313,542.31,3.33
76.25,-0.313,288.27,1.01
78.75,-0.313,651.71,2.21
81.25,-0.313,724.04,2.39
83.75,-0.313,586.25,2.14
86.25,-0.313,336.3,3.44
88.75,-0.313,318.28,3.6
91.25,-0.313,195.83,2.16
93.75,-0.313,138.71,0.79
96.25,-0.313,96.34,0.61
11.25,-0.625,560.12,1.15
13.75,-0.625,499.58,1.08
16.25,-0.625,672.81,3.58
18.75,-0.625,475.72,1.5
21.25,-0.625,161.66,1.24
23.75,-0.625,51.98,1.62
33.75,-0.625,102.45,2.4
36.25,-0.625,248.48,1.41
46.25,-0.625,606.31,3.09
48.75,-0.625,346.91,1.68
51.25,-0.625,214.95,1.01
56.25,-0.625,464.23,1.4
58.75,-0.625,851.2,5.43
61.25,-0.625,1929.25,13.93
63.75,-0.625,767.45,6.91
66.25,-0.625,1059,8.31
68.75,-0.625,679.26,2.13
76.25,-0.625,288.27,1.01
81.25,-0.625,724.04,2.39
83.75,-0.625,586.25,2.14
86.25,-0.625,336.3,1.44
88.75,-0.625,318.28,3.6
91.25,-0.625,195.83,2.16
93.75,-0.625,138.71,0.79
96.25,-0.625,96.34,0.61
8.75,-1.938,703.51,6.77
16.25,-1.938,686.96,1.99
18.75,-1.938,467.91,1.43
21.25,-1.938,238,0.69
23.75,-1.938,68.49,1.66
36.25,-1.938,501.48,1.05
43.75,-1.938,125.12,1.92
46.25,-1.938,373.76,1.02
51.25,-1.938,242,3.32
56.25,-1.938,337.17,1.74
58.75,-1.938,1168.9,5.71
63.75,-1.938,407.95,3.26
68.75,-1.938,313.38,1.27
71.25,-1.938,1362.6,7.89
73.75,-1.938,429.36,1.33
76.25,-1.938,2074.3,15.1
78.75,-1.938,627.06,2.25
81.25,-1.938,661.51,2.36
83.75,-1.938,422.86,1.67
86.25,-1.938,439.16,3.32
88.75,-1.938,321.68,2.79
91.25,-1.938,199.74,1.87
93.75,-1.938,123.37,0.78
96.25,-1.938,133.78,0.65
6.25,-3.381,2647.84,18.68
16.25,-3.381,299.73,0.88
18.75,-3.381,208.06,0.33
21.25,-3.381,186.46,0.46
23.75,-3.381,244.37,2.15
26.25,-3.381,2747.5,21.56
28.75,-3.381,1335.46,8.45
31.25,-3.381,1278.1,6.59
36.25,-3.381,550.85,2.33
46.25,-3.381,728.51,4.25
51.25,-3.381,495.75,2.89
56.25,-3.381,268.41,3.79
63.75,-3.381,337.33,2.89
68.75,-3.381,278.32,1.31
71.25,-3.381,329.54,4
78.75,-3.381,505.36,2.6
81.25,-3.381,649.32,2.55
86.25,-3.381,1450.5,7.76
88.75,-3.381,952.26,3.45
91.25,-3.381,205.67,1.54
93.75,-3.381,101.99,0.78
95,-3.381,101.99,0.78
96.25,-3.381,101.99,0.78
6.25,-4.969,1225.7,6.63
7.5,-4.969,1225.7,6.63
8.75,-4.969,1225.7,6.63
13.75,-4.969,278.5,1.12
16.25,-4.969,127.64,0.48
18.75,-4.969,83.45,0.35
21.25,-4.969,148.35,1.01
23.75,-4.969,578.86,4.25
26.25,-4.969,2886.3,21.24
28.75,-4.969,1781.73,13.28
31.25,-4.969,192.19,2.16
36.25,-4.969,339.67,2.11
43.75,-4.969,84.2,0.68
56.25,-4.969,1399.34,10.48
63.75,-4.969,468.53,4.25
76.25,-4.969,639.86,4.77
78.75,-4.969,548.05,2.27
81.25,-4.969,667.46,2.45
83.75,-4.969,806.13,2.81
91.25,-4.969,318.52,1.38
93.75,-4.969,318.52,1.38
96.25,-4.969,318.52,1.38
6.25,-6.716,248.72,0.73
12.5,-6.716,248.72,0.73
18.75,-6.716,248.72,0.73
23.75,-6.716,1903.17,15.16
31.25,-6.716,2104.18,16.06
33.75,-6.716,73.68,0.74
38.75,-6.716,401.27,1.34
41.25,-6.716,380.92,1.24
51.25,-6.716,1304,7.05
66.25,-6.716,2076.1001,14.47
81.25,-6.716,485.78,4.15
83.75,-6.716,522.74,4.77
86.25,-6.716,2396.7,17.7
91.25,-6.716,2396.7,17.7
96.25,-6.716,2396.7,17.7
36.25,-8.638,1268.7,9.54
38.75,-8.638,218.19,0.56
41.25,-8.638,682.59,2.12
51.25,-8.638,2652.3999,16.64
53.75,-8.638,2982.3,26.24
38.75,-10.752,307.58,2.93
51.25,-10.752,2792.1001,21.58
53.75,-10.752,2786.3,20.32
38.75,-13.077,789,6.01
51.25,-13.077,2764.3999,21.64
53.75,-13.077,2986.4,23.7
6.25,-15.635,1300.5,9.91
22.5,-15.635,1300.5,9.91
38.75,-15.635,1300.5,9.91
51.25,-15.635,2396.7,14.7
53.75,-15.635,2286.3,16.24
56.25,-15.635,756.3,6.25
61.25,-15.635,2997.44,18.35
51.25,-18.448,2923.6001,25.45
53.75,-18.448,2074.3,15.36
56.25,-18.448,1935.9,11.25
58.75,-18.448,2523.6001,17.53
77.5,-18.448,2906.8,19.67
96.25,-18.448,2925.8,18.53
